w_0,gamma_0,gamma_1,gamma_2
0.397279305759317,-2.987419771010124,-2.363207183424588,-1.6627473485636324
0.4671947767202353,-2.853835421317055,-2.229131533000249,-1.5374120950029135
0.4474282244878804,-2.9062911888063896,-2.2896373483633634,-1.6238186142547737
0.4049778874827868,-3.012186309195818,-2.351807341424369,-1.6186482133095734
0.5006467328618618,-2.9310961519492182,-2.290237845278172,-1.607774484394508
0.5017187524992951,-2.845513912560833,-2.2349057101129044,-1.600897463610684
0.4177606494505144,-3.03850841546132,-2.431882517148801,-1.6838140386904066
0.4061034644079026,-3.037003372671446,-2.380234092913531,-1.67040832787952
0.4848312670634468,-3.031968597317517,-2.362358478299727,-1.6425377376158392
0.4220229579825388,-3.0149556732476928,-2.322403239885176,-1.68314350312589
0.4118899256499169,-3.044399055141544,-2.373483667870394,-1.647114309859716
0.4523634617748608,-3.001034703008264,-2.373252523595024,-1.653224262005159
0.4712889437143104,-2.9607690327572533,-2.327115093939679,-1.6367278437577664
0.4767406156375548,-2.8618336057644838,-2.267492184090593,-1.5574674551740737
0.4583705785207223,-2.992803274490333,-2.398474542176787,-1.7230379528393869
0.4513711786877049,-2.8904370803483777,-2.273155431529787,-1.607018153566523
0.4315450462018333,-3.0128440240918968,-2.400592971849484,-1.6493753251761052
0.4397316916506248,-2.9302401476399487,-2.352142647102042,-1.645122095671096
0.4682574301869576,-2.939064626367663,-2.3379648778195787,-1.641367129291416
0.4616473650497387,-3.022774924069082,-2.3494035712242693,-1.6521552511262187
0.4484634303534126,-2.9397820906990018,-2.286391065555668,-1.6096614551780393
0.4839799151000126,-2.9391771309937083,-2.323637787069511,-1.629024842407107
0.4517965725986649,-3.001523291711577,-2.304990701904787,-1.6288540545900605
0.4496111808666204,-2.9314801889797786,-2.2405171866178293,-1.5871970262944022
0.455597338333351,-3.0513267414544085,-2.376417269072598,-1.716612650574819
0.3773692094933537,-2.978798843698275,-2.3413108434820296,-1.637473059534419
0.4690959788896483,-2.919760191252004,-2.309461278538343,-1.6217647104421764
0.4896247548098613,-2.8636335034013447,-2.266381855199948,-1.56692282785156
0.4335017740145832,-2.9558640011973947,-2.30479212692205,-1.6146745774256102
0.4275531289503671,-2.975940808395326,-2.3521045590692773,-1.6498505722856032
0.4672014330866393,-2.880476075245734,-2.2818464418603,-1.5775801596010408
0.462450488176264,-3.00589582882241,-2.365198586166253,-1.6967980037923094
0.4966082430114198,-2.947756549750044,-2.333105026755656,-1.6331814402664144
0.4506715132639052,-2.975978992660838,-2.325452321579186,-1.6454063791506752
0.4590228064606692,-2.904928225246552,-2.322472338583753,-1.6169672287539774
0.4814201053694932,-2.913748038976643,-2.243644301011937,-1.577576205968655
0.4816390907908184,-2.912285894367725,-2.238817620948633,-1.605864345412865
0.4902714490568852,-2.830703275099084,-2.216114405123391,-1.5798639085115074
0.4615557777234427,-2.9861669396716146,-2.393980731871796,-1.724170745782145
0.4920084625605903,-3.00065670179968,-2.3233104998277367,-1.663127519952068
0.4826404599348923,-2.942456168618494,-2.242615352827827,-1.575717239679943
0.4738674502446358,-2.942461140199462,-2.3046396243704064,-1.6507201587850062
0.4325022066383513,-2.9459365698400144,-2.31801622359386,-1.6935385169262815
0.4555945596842775,-2.8578422435733706,-2.2386065385157723,-1.5791575258993549
0.4372535415290994,-3.0479478528642407,-2.337171312623384,-1.6843930161408818
0.4090528237727137,-2.9491891690213863,-2.335609853798132,-1.6458097482123972
0.5239056964139535,-2.9545879534879247,-2.2760289480856013,-1.6447944646786097
0.4933963530624398,-2.893691072737161,-2.243869621206598,-1.6092636695592497
0.4861125329137318,-2.934192701064095,-2.322637569236645,-1.6476439890046994
0.4710982305355221,-2.968387307895896,-2.249318551052484,-1.613527407258686
0.4276858190531877,-2.9715014288211323,-2.3659204008400945,-1.639338180217116
0.5329952081845132,-2.791986865213743,-2.1984367677039858,-1.5520260745113144
0.4445541519054297,-3.016938285007379,-2.366843958115945,-1.6874401402780086
0.444734912039478,-2.9584738465272054,-2.3493666063147973,-1.6748827099636283
0.4518927543101125,-2.962639009220985,-2.322645984575748,-1.6517178289973982
0.4787980836722662,-2.838522679454337,-2.2340428842364983,-1.567025265693098
0.4156426168748375,-3.018447108826397,-2.369052348835044,-1.6834473764280675
